(109418) (2001 QL192),15.2, 16.45,399,3.06,3.54,2.78
(167448) (2003 XS8)  ,15.9, 57.86,455,2.56,4.00,2.31
(178999) (2001 RT10) ,15.3,109.19,236,2.34,4.11,2.05
(217207) (2002 TF233),15.2, 38.12,171,1.45,1.36,1.00
(221319) (2005 VG61) ,15.3, 87.54,234,1.48,1.34,1.22
(228353) (2000 SL306),15.8, 72.10,246,1.45,1.42,1.12
(242006) (2002 PM72) ,15.7, 27.75,337,2.73,3.53,2.31
(249471) (2009 KM5)  ,15.8, 86.03,397,2.63,3.80,2.37
(250631) (2005 HE5)  ,15.7,101.71,455,2.83,3.97,2.51
(251216) (2006 UT190),15.8, 25.63,404,2.98,3.43,2.56
(251421) (2008 AR81) ,16.6, 36.96,501,2.76,3.65,2.42
(271858) (2004 TO273),16.4, 68.37,488,3.04,3.61,2.79
(280432) (2003 YF106),15.8,  3.56,288,4.83,2.18,1.91
(293263) (2007 CR22) ,16.3, 40.06,352,2.87,3.60,2.43
(293929) (2007 TB4)  ,17.5, 81.72,553,2.92,3.62,2.67
(302592) (2002 QZ13) ,17.1,112.10,489,2.79,3.55,2.46
(312598) (2009 KG22) ,17.0, 94.60,431,2.50,4.15,2.17
(336130) (2008 PL8)  ,16.4, 11.94,277,2.06,4.23,1.71
(338500) (2003 OO16) ,16.4, 53.71,457,2.58,3.87,2.30
(383620) (2007 NG3)  ,16.8, 22.35,426,2.72,3.63,2.41
(394982) (2009 BZ15) ,16.9, 12.54,324,1.95,4.70,1.53
(397951) (2008 YD63) ,16.7, 20.81,361,2.44,3.79,2.05
(408676) (2014 MK38) ,17.2, 19.52,302,2.25,3.79,2.01
(418337) (2008 GS16) ,17.1, 85.78,505,2.86,3.71,2.56
(419006) (2009 PV6)  ,16.3, 14.19,307,2.43,4.20,1.88
(422000) (2014 QY311),16.5, 30.86,345,2.42,3.90,1.84
(425661) (2010 XA17) ,16.6, 24.00,161,4.52,2.23,2.35
(432421) (2010 AC64) ,16.5, 32.57,318,2.57,3.70,2.02
(439544) (2014 DT5)  ,16.1, 21.64,359,2.57,4.04,2.33
(442023) (2010 OV115),16.9,  9.00,466,1.24,4.47,1.00
(470784) (2008 UX297),17.1, 40.18,436,2.21,4.17,1.94
(472719) (2015 FK67) ,16.5, 22.37,397,2.69,3.79,2.39
(473135) (2015 KK2)  ,16.4, 18.29,224,2.01,4.41,1.39
(491301) (2011 WT20) ,16.6, 17.40,422,2.37,4.38,1.90
(504506) (2008 MX1)  ,17.4, 22.49,277,2.77,3.54,1.93
(513636) (2011 QW43) ,17.5, 51.69,379,1.81,4.12,1.43
(2013 CM68)          ,16.8, 13.49,216,2.85,3.58,1.86
(2014 CJ8)           ,17.3, 22.07,280,2.12,4.19,1.81
(2014 NV43)          ,17.4, 65.49,495,2.69,3.66,2.42
(2016 AZ187)         ,16.7, 21.61,319,2.42,3.91,2.06
(2017 DO107)         ,16.9, 13.96,285,2.65,3.73,2.40
